Circuit,LUTRAM_Blocks_used,8K_BRAMs_Used,Regular_LBs_used,Required_LB_Tiles_in_Chip,Total_FPGA_Area
0,1118,221,0,4059,173540297.296
1,664,644,0,3570,196024780.357
2,93,0,0,1929,72337500.000
3,53,54,0,2861,112498816.986
4,557,901,0,8468,404501788.977
5,31,288,0,3723,167406190.594
6,76,160,0,1929,87778439.219
7,562,480,4,4522,219299991.579
8,902,320,0,6244,265031878.438
9,1,32,0,1637,64475687.844
10,378,305,0,1796,96784290.386
11,239,70,0,1569,65592910.908
12,11,36,0,1643,65086711.324
13,6,20,0,4497,170567617.402
14,53,260,0,1861,94879026.231
15,43,127,0,1999,87218745.505
16,10,80,0,2192,89920469.610
17,2,59,0,1167,49456346.337
18,183,8,8,2221,90863894.805
19,452,245,4,2689,127883612.101
20,231,269,0,2910,135085079.062
21,20,61,0,5121,197924358.077
22,200,401,0,2520,133198853.918
23,4,250,0,5235,220438967.530
24,131,483,0,4456,213712335.268
25,99,53,0,4616,178214811.116
26,83,381,0,1444,90918736.515
27,32,0,0,1528,57300000.000
28,114,347,0,2107,112500036.931
29,306,261,0,3333,150175532.101
30,241,4,0,5660,212636023.480
31,128,0,0,4475,167812500.000
32,182,723,0,3662,207098744.096
33,30,544,0,4036,203849193.345
34,51,640,0,1756,127613756.876
35,0,160,0,1360,66440939.219
36,270,246,36,1849,123697509.347
37,0,48,0,14969,565969781.766
38,29,328,4,3235,156368599.321
39,188,322,0,1995,105887390.178
40,46,151,0,3110,131197386.388
41,182,400,0,2137,118739848.048
42,94,29,0,1431,56461170.233
43,370,0,0,1582,59325000.000
44,221,142,0,2335,101266333.557
45,2,28,0,2784,107102164.363
46,352,460,11,3732,193698678.540
47,47,18,0,1486,57462105.662
48,92,304,32,6969,317892675.892
49,3040,1328,0,14923,687772295.518
50,186,458,0,12070,496824688.515
51,10,425,0,4214,199039994.801
52,991,0,0,10594,397275000.000
53,1326,0,0,12143,455362500.000
54,761,128,0,11664,449752751.375
55,1539,16,0,11880,447044093.922
56,113,304,0,4691,205250284.516
57,851,0,0,7996,299850000.000
58,1189,84,0,8889,341443993.090
59,0,2400,0,11888,677414088.286
60,10,552,0,20381,817558740.306
61,0,2076,0,15079,765808686.368
62,301,531,0,5203,246357117.033
63,0,619,0,4857,241874633.604
64,1120,1538,0,11572,582376028.243
65,313,168,0,13034,504987986.180
66,291,716,0,6603,316710703.005
67,94,789,0,2555,171955631.524
68,192,0,0,5042,189075000.000
